"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ex1_1.nlogo"
"Simple MIS"
"04/26/2024 17:29:44:560 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-of-nodes","circle-layout?","mode","edge-factor","[step]","msg","bits","max [reps] of turtles"
"1","50","true","Simple MIS","3","12","1075","1075","12"
"2","150","true","Simple MIS","3","50","4058","4058","50"
"5","50","true","Luby's","3","5","1204","6795","5"
"3","300","true","Simple MIS","3","41","7541","7541","41"
"6","150","true","Luby's","3","5","3600","26024","5"
"7","300","true","Luby's","3","6","7321","60243","6"
"9","50","true","Biology inspired","3","1","196","196","6"
"10","150","true","Biology inspired","3","1","576","576","8"
"4","550","true","Simple MIS","3","120","13399","13399","120"
"8","550","true","Luby's","3","6","14071","128092","6"
"13","50","true","Biology inspired Enhanced","3","4","232","232","4"
"11","300","true","Biology inspired","3","1","1321","1321","9"
"14","150","true","Biology inspired Enhanced","3","4","678","678","4"
"15","300","true","Biology inspired Enhanced","3","13","1418","1418","13"
"17","50","true","Simple MIS","7","28","2630","2630","28"
"18","150","true","Simple MIS","7","33","5417","5417","33"
"16","550","true","Biology inspired Enhanced","3","6","2536","2536","6"
"19","300","true","Simple MIS","7","67","12985","12985","67"
"21","50","true","Luby's","7","4","1936","10927","4"
"22","150","true","Luby's","7","6","6506","47031","6"
"23","300","true","Luby's","7","6","13269","109188","6"
"20","550","true","Simple MIS","7","96","27166","27166","96"
"25","50","true","Biology inspired","7","1","218","218","6"
"26","150","true","Biology inspired","7","1","828","828","8"
"12","550","true","Biology inspired","3","1","2321","2321","10"
"24","550","true","Luby's","7","9","23853","217141","9"
"29","50","true","Biology inspired Enhanced","7","3","323","323","3"
"27","300","true","Biology inspired","7","1","1671","1671","9"
"30","150","true","Biology inspired Enhanced","7","3","853","853","3"
"31","300","true","Biology inspired Enhanced","7","4","1957","1957","4"
"33","50","true","Simple MIS","15","38","7345","7345","38"
"34","150","true","Simple MIS","15","85","11810","11810","85"
"35","300","true","Simple MIS","15","76","31433","31433","76"
"32","550","true","Biology inspired Enhanced","7","8","3234","3234","8"
"37","50","true","Luby's","15","5","4557","25719","5"
"38","150","true","Luby's","15","4","10479","75751","4"
"28","550","true","Biology inspired","7","1","2936","2936","10"
"39","300","true","Luby's","15","9","31290","257480","9"
"41","50","true","Biology inspired","15","1","293","293","6"
"42","150","true","Biology inspired","15","1","926","926","8"
"43","300","true","Biology inspired","15","1","2033","2033","9"
"36","550","true","Simple MIS","15","146","57812","57812","146"
"45","50","true","Biology inspired Enhanced","15","3","272","272","3"
"46","150","true","Biology inspired Enhanced","15","4","1166","1166","4"
"47","300","true","Biology inspired Enhanced","15","4","2354","2354","4"
"40","550","true","Luby's","15","9","53418","486279","9"
"49","50","true","Simple MIS","3","15","1608","1608","15"
"50","150","true","Simple MIS","3","64","4343","4343","64"
"51","300","true","Simple MIS","3","91","9783","9783","91"
"44","550","true","Biology inspired","15","1","3769","3769","10"
"53","50","true","Luby's","3","5","1427","8054","5"
"54","150","true","Luby's","3","5","3294","23812","5"
"48","550","true","Biology inspired Enhanced","15","3","3760","3760","3"
"55","300","true","Luby's","3","5","6967","57330","5"
"57","50","true","Biology inspired","3","1","200","200","6"
"52","550","true","Simple MIS","3","48","15627","15627","48"
"58","150","true","Biology inspired","3","1","580","580","8"
"59","300","true","Biology inspired","3","1","1245","1245","9"
"61","50","true","Biology inspired Enhanced","3","6","231","231","6"
"62","150","true","Biology inspired Enhanced","3","8","669","669","8"
"56","550","true","Luby's","3","7","12683","115457","7"
"63","300","true","Biology inspired Enhanced","3","4","1301","1301","4"
"65","50","true","Simple MIS","7","15","1564","1564","15"
"66","150","true","Simple MIS","7","71","10411","10411","71"
"64","550","true","Biology inspired Enhanced","3","9","2452","2452","9"
"60","550","true","Biology inspired","3","1","2275","2275","10"
"69","50","true","Luby's","7","7","2547","14375","7"
"70","150","true","Luby's","7","10","6545","47313","10"
"67","300","true","Simple MIS","7","63","14307","14307","63"
"71","300","true","Luby's","7","6","12923","106341","6"
"73","50","true","Biology inspired","7","1","248","248","6"
"74","150","true","Biology inspired","7","1","798","798","8"
"68","550","true","Simple MIS","7","117","26262","26262","117"
"75","300","true","Biology inspired","7","1","1602","1602","9"
"77","50","true","Biology inspired Enhanced","7","3","387","387","3"
"72","550","true","Luby's","7","8","26699","243049","8"
"78","150","true","Biology inspired Enhanced","7","3","821","821","3"
"79","300","true","Biology inspired Enhanced","7","8","2024","2024","8"
"81","50","true","Simple MIS","15","74","2257","2257","74"
"82","150","true","Simple MIS","15","56","16006","16006","56"
"80","550","true","Biology inspired Enhanced","7","5","3299","3299","5"
"76","550","true","Biology inspired","7","1","3235","3235","10"
"85","50","true","Luby's","15","2","3216","18151","2"
"86","150","true","Luby's","15","7","11844","85618","7"
"83","300","true","Simple MIS","15","115","32200","32200","115"
"87","300","true","Luby's","15","5","25833","212575","5"
"89","50","true","Biology inspired","15","1","215","215","6"
"84","550","true","Simple MIS","15","104","51368","51368","104"
"90","150","true","Biology inspired","15","1","954","954","8"
"91","300","true","Biology inspired","15","1","1930","1930","9"
"93","50","true","Biology inspired Enhanced","15","3","330","330","3"
"94","150","true","Biology inspired Enhanced","15","3","1143","1143","3"
