slow-burning-trees,q,(burned-trees / initial-trees) * 100
30,70,2.371823232
30,70,2.289141878
30,70,3.33251654
30,70,2.527040555
30,75,3.010288015
30,75,4.296568627
30,75,4.307857806
30,70,2.987969556
30,80,5.511111111
30,75,4.728507893
30,75,6.106478198
30,80,5.784349969
30,80,4.385321997
30,80,4.48390677
30,85,7.371779141
30,85,12.90219971
30,85,11.96239199
30,80,13.61374611
30,85,21.67857842
30,85,43.00597066
30,90,82.96836388
30,90,76.58145634
30,90,84.02590394
30,90,77.93979999
30,90,85.03466353
45,70,2.75641813
45,70,4.205080424
45,70,3.059870232
45,70,5.889537582
45,75,3.658387672
45,70,4.118479481
45,75,3.794538426
45,75,4.824957858
45,80,5.336933841
45,80,6.340712505
45,80,11.75833641
45,75,7.069270016
45,75,5.331507251
45,80,7.273395394
45,80,8.20290494
45,85,18.63786968
45,85,33.74287183
45,85,46.68550369
45,85,54.82992196
45,85,63.49307827
45,90,86.91921049
45,90,87.58070828
45,90,74.20806732
45,90,85.32596685
45,90,86.8491535
60,70,5.017305285
60,70,5.210137327
60,70,7.500856542
60,70,3.192901386
60,70,5.123869735
60,75,5.685873926
60,75,7.891767246
60,75,9.563282473
60,75,8.58321668
60,75,10.62375532
60,80,25.11038069
60,80,34.60102201
60,80,23.33643214
60,80,38.88044704
60,80,33.53731672
60,85,75.98516458
60,85,75.03420641
60,85,73.08334151
60,85,69.70195828
60,85,79.67316092
60,90,88.13918379
60,90,87.04203909
60,90,90.98610806
60,90,88.60474782
60,90,89.61262413
75,70,6.738491675
75,70,11.85141797
75,70,8.590719371
75,70,12.74295403
75,70,9.59707499
75,75,19.55917492
75,75,6.314089229
75,75,25.94045809
75,75,13.79784777
75,75,22.31631504
75,80,37.04677213
75,80,46.11024864
75,80,75.4819454
75,80,69.74304173
75,80,71.33271521
75,85,85.94860445
75,85,87.16866
75,85,87.47274821
75,85,88.51946784
75,85,88.89381403
75,90,91.85776168
75,90,93.7147186
75,90,90.06474714
75,90,91.29684843
75,90,89.44654856
